6472010,PALARAN
6472020,SAMARINDA ILIR
6472021,SAMARINDA KOTA
6472022,SAMBUTAN
6472030,SAMARINDA SEBERANG
6472031,LOA JANAN ILIR
6472040,SUNGAI KUNJANG
6472050,SAMARINDA ULU
6472060,SAMARINDA UTARA
6472061,SUNGAI PINANG
